path,asset_class,language,bytes,loc,tracked,dependency_graph_included
src/common/model_usage.py,backend_source,py,1313,37,True,True
src/common/token_counter.py,backend_source,py,2122,79,True,True
src/common/types.py,backend_source,py,13354,299,True,True
src/document_activities/__init__.py,backend_source,py,247,6,True,True
src/document_activities/contracts.py,backend_source,py,498,25,True,True
src/document_activities/runtime.py,backend_source,py,8755,206,True,True
src/entrypoint.sh,development_asset,sh,51,5,True,False
src/file_adapters/__init__.py,backend_source,py,634,23,True,True
src/file_adapters/docling.py,backend_source,py,3729,104,True,True
src/file_adapters/docx.py,backend_source,py,2384,67,True,True
src/file_adapters/gotenberg.py,backend_source,py,2692,62,True,True
src/file_adapters/markitdown.py,backend_source,py,1119,32,True,True
src/file_adapters/pdf.py,backend_source,py,2298,65,True,True
src/file_adapters/pptx.py,backend_source,py,1410,43,True,True
src/file_adapters/writers.py,backend_source,py,7691,198,True,True
src/file_adapters/xlsx.py,backend_source,py,1627,49,True,True
src/file_domain/__init__.py,backend_source,py,506,24,True,True
src/file_domain/approvals.py,backend_source,py,10965,243,True,True
src/file_domain/models.py,backend_source,py,3297,110,True,True
src/file_domain/persistence.py,backend_source,py,2049,49,True,True
src/file_domain/persistent.py,backend_source,py,14270,319,True,True
src/file_domain/providers.py,backend_source,py,548,19,True,True
src/file_domain/serialization.py,backend_source,py,2000,61,True,True
src/file_runtime/__init__.py,backend_source,py,395,11,True,True
src/file_runtime/output.py,backend_source,py,6458,148,True,True
src/file_runtime/registry.py,backend_source,py,2159,66,True,True
src/file_runtime/research_output.py,backend_source,py,1369,33,True,True
src/file_runtime/resolver.py,backend_source,py,1911,49,True,True
src/file_runtime/routing.py,backend_source,py,2423,58,True,True
src/harness/__init__.py,backend_source,py,152,5,True,True
src/harness/activities.py,backend_source,py,3439,100,True,True
src/harness/context_builder.py,backend_source,py,17637,400,True,True
src/harness/prompts.py,backend_source,py,6039,146,True,True
src/main.py,backend_source,py,2995,84,True,True
src/memory/__init__.py,backend_source,py,690,17,True,True
src/memory/group_context.py,backend_source,py,14081,357,True,True
src/memory/hindsight_client.py,backend_source,py,26910,662,True,True
src/orchestration/__init__.py,backend_source,py,887,25,True,True
src/orchestration/artifact_activities.py,backend_source,py,684,23,True,True
src/orchestration/artifact_dispatcher.py,backend_source,py,5230,112,True,True
src/orchestration/artifact_workflow.py,backend_source,py,1149,31,True,True
src/orchestration/config.py,backend_source,py,35405,810,True,True
src/orchestration/document_contracts.py,backend_source,py,120,3,True,True
src/orchestration/document_worker.py,backend_source,py,1728,56,True,True
src/orchestration/document_workflow.py,backend_source,py,786,24,True,True
src/orchestration/durable_web_workflow.py,backend_source,py,11510,215,True,True
src/orchestration/memory_retention_worker.py,backend_source,py,4053,101,True,True
src/orchestration/research_schedule.py,backend_source,py,4013,106,True,True
src/orchestration/research_workflow.py,backend_source,py,7054,191,True,True
src/orchestration/scheduler.py,backend_source,py,11484,301,True,True
src/orchestration/web_activities.py,backend_source,py,9090,269,True,True
src/orchestration/web_dispatcher.py,backend_source,py,16246,356,True,True
src/orchestration/web_reconcile_adapters.py,backend_source,py,970,25,True,True
src/orchestration/web_reconciler.py,backend_source,py,4819,119,True,True
src/orchestration/web_worker.py,backend_source,py,7610,188,True,True
src/orchestration/web_workers.py,backend_source,py,8494,197,True,True
src/orchestration/web_workflow.py,backend_source,py,9348,206,True,True
src/orchestration/worker.py,backend_source,py,55160,1370,True,True
src/orchestration/workflow.py,backend_source,py,9713,248,True,True
src/persistence/__init__.py,backend_source,py,66,1,True,True
src/persistence/migrate.py,backend_source,py,2386,57,True,True
src/persistence/repositories.py,backend_source,py,24934,550,True,True
src/persistence/uow.py,backend_source,py,2715,87,True,True
src/requirements-document.txt,deployment_configuration,txt,320,9,True,False
src/requirements.txt,deployment_configuration,txt,562,30,True,False
src/research_activities/__init__.py,backend_source,py,111,5,True,True
src/research_activities/runtime.py,backend_source,py,34938,807,True,True
src/research_adapters/__init__.py,backend_source,py,670,25,True,True
src/research_adapters/discovery.py,backend_source,py,8737,221,True,True
src/research_adapters/synthesis.py,backend_source,py,3228,76,True,True
src/research_adapters/web.py,backend_source,py,8828,243,True,True
src/research_domain/__init__.py,backend_source,py,503,27,True,True
src/research_domain/models.py,backend_source,py,5721,191,True,True
