source,kind,expression,target,task_queue,evidence,config_gates
test/test_file_read_tools.py::test_tool_result_fails_bounded_when_adapter_payload_is_too_large,DI_REGISTRY,"registry.register('pdf', SimpleNamespace(inspect=lambda resource: {'content': 'x' * 600000}), extensions=('pdf',))",src/file_runtime/registry.py::FileAdapterRegistry.register,,test/test_file_read_tools.py:161,
test/test_qq_execution_compat.py::_inject_host,DI_REGISTRY,"inject_services(qq_execution_host=host, session_archive=unused, memory_reflection=unused, metrics=unused)",src/harness/activities.py::inject_services,,test/test_qq_execution_compat.py:25,
test/test_research_temporal_integration.py::prepare,DEFINITION_ACTIVITY,prepare_research_activity,test/test_research_temporal_integration.py::prepare,,test/test_research_temporal_integration.py:42,
test/test_research_temporal_integration.py::plan,DEFINITION_ACTIVITY,create_research_plan_activity,test/test_research_temporal_integration.py::plan,,test/test_research_temporal_integration.py:47,
test/test_research_temporal_integration.py::discover,DEFINITION_ACTIVITY,discover_research_sources_activity,test/test_research_temporal_integration.py::discover,,test/test_research_temporal_integration.py:52,
test/test_research_temporal_integration.py::rank,DEFINITION_ACTIVITY,rank_research_sources_activity,test/test_research_temporal_integration.py::rank,,test/test_research_temporal_integration.py:57,
test/test_research_temporal_integration.py::fetch,DEFINITION_ACTIVITY,fetch_research_sources_activity,test/test_research_temporal_integration.py::fetch,,test/test_research_temporal_integration.py:62,
test/test_research_temporal_integration.py::normalize,DEFINITION_ACTIVITY,normalize_research_sources_activity,test/test_research_temporal_integration.py::normalize,,test/test_research_temporal_integration.py:67,
test/test_research_temporal_integration.py::evidence,DEFINITION_ACTIVITY,extract_research_evidence_activity,test/test_research_temporal_integration.py::evidence,,test/test_research_temporal_integration.py:72,
test/test_research_temporal_integration.py::corroboration,DEFINITION_ACTIVITY,assess_research_corroboration_activity,test/test_research_temporal_integration.py::corroboration,,test/test_research_temporal_integration.py:77,
test/test_research_temporal_integration.py::gaps,DEFINITION_ACTIVITY,analyze_research_gaps_activity,test/test_research_temporal_integration.py::gaps,,test/test_research_temporal_integration.py:82,
test/test_research_temporal_integration.py::synthesize,DEFINITION_ACTIVITY,synthesize_research_report_activity,test/test_research_temporal_integration.py::synthesize,,test/test_research_temporal_integration.py:92,
test/test_research_temporal_integration.py::verify,DEFINITION_ACTIVITY,verify_research_citations_activity,test/test_research_temporal_integration.py::verify,,test/test_research_temporal_integration.py:97,
test/test_research_temporal_integration.py::compare,DEFINITION_ACTIVITY,compare_previous_research_activity,test/test_research_temporal_integration.py::compare,,test/test_research_temporal_integration.py:102,
test/test_research_temporal_integration.py::publish,DEFINITION_ACTIVITY,publish_research_artifact_activity,test/test_research_temporal_integration.py::publish,,test/test_research_temporal_integration.py:107,
test/test_research_temporal_integration.py::complete,DEFINITION_ACTIVITY,complete_research_activity,test/test_research_temporal_integration.py::complete,,test/test_research_temporal_integration.py:112,
test/test_research_temporal_integration.py::fail,DEFINITION_ACTIVITY,fail_research_activity,test/test_research_temporal_integration.py::fail,,test/test_research_temporal_integration.py:117,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_WORKFLOWS,ResearchReportWorkflow,src/orchestration/research_workflow.py::ResearchReportWorkflow,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:146,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,prepare,test/test_research_temporal_integration.py::prepare,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:148,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,plan,test/test_research_temporal_integration.py::plan,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:149,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,discover,test/test_research_temporal_integration.py::discover,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:150,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,rank,test/test_research_temporal_integration.py::rank,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:151,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,fetch,test/test_research_temporal_integration.py::fetch,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:152,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,normalize,test/test_research_temporal_integration.py::normalize,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:153,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,evidence,test/test_research_temporal_integration.py::evidence,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:154,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,corroboration,test/test_research_temporal_integration.py::corroboration,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:155,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,gaps,test/test_research_temporal_integration.py::gaps,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:156,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,synthesize,test/test_research_temporal_integration.py::synthesize,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:157,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,verify,test/test_research_temporal_integration.py::verify,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:158,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,compare,test/test_research_temporal_integration.py::compare,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:159,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,publish,test/test_research_temporal_integration.py::publish,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:160,
test/test_research_temporal_integration.py::test_real_temporal_research_workflow_replays_with_compact_refs,REGISTER_ACTIVITIES,complete,test/test_research_temporal_integration.py::complete,WEB_LIFECYCLE_TASK_QUEUE,test/test_research_temporal_integration.py:161,
